asin,asin_description,amazon_url,division,taxonomy,product,start_date,onhand_units,start_date_pred,forecast_mean,forecast_p70,forecast_p80,forecast_p90,po_request_date,po_quantity,lead_time_days
ASIN_248378,MLB A S BRG GLD PS INF BTG PR,https://www.amazon.com/dp/B07XL2J826,Baseball,Gloves,Batting Glove,2026-08-31,20,2027-03-29,1,1,2,3,,,
ASIN_56F8C7,Y M BLK/RYL SHOKTAK REC GLVS,https://www.amazon.com/dp/B07X43SQMS,Baseball,Gloves,Sport Glove,2026-08-31,226,2026-12-07,18,21,27,41,,,
ASIN_28A212,SFIA Y L WHT/WHT HI-TK REC GLV,https://www.amazon.com/dp/B07DNXX1GH,Baseball,Gloves,Sport Glove,2026-08-31,52,2027-03-29,6,7,11,14,2026-09-04,8,12.90490250830751
ASIN_9C615D,MLB Y XXS WHT/NVY 2ND SKNZ BTG,https://www.amazon.com/dp/B07XNWW9C2,Baseball,Gloves,Batting Glove,2026-08-31,199,2027-07-05,11,15,20,20,2026-09-05,4,15.703628362877156
ASIN_C72239,MLB A L WHT/CHRM SHKSORB X BTG,https://www.amazon.com/dp/B07XNWG5RK,Baseball,Gloves,Batting Glove,2026-08-31,235,2027-02-01,52,57,83,90,2026-09-09,36,15.949865197622866
ASIN_5C6C50,MLB A XL PRL/WHT NEO II BTG PR,https://www.amazon.com/dp/B006DOJ1QG,Baseball,Gloves,Batting Glove,2026-08-31,1,2027-06-14,1,1,1,2,2026-09-09,3,13.786846381960176
ASIN_EDCDA7,MLB Y CFX PRT SLIDER YLW/RED,,Baseball,Protective Gear,Slider,2026-08-31,35,2027-04-12,1,1,2,4,,,
ASIN_05A856,MLB Y M NVY GLD PS INF BTG PR,,Baseball,Gloves,Batting Glove,2026-08-31,21,2027-03-08,2,2,3,5,2026-09-09,4,12.93091038804029
ASIN_A22A4C,MLB Y M OPK APL PS INF BTG PR,,Baseball,Gloves,Batting Glove,2026-08-31,18,2027-05-03,4,5,8,11,2026-09-10,6,16.158189810064812
ASIN_140F22,MLB HEAVTY DUTY BATTING TEE,https://www.amazon.com/dp/B01AXYC06E,Baseball,Training Aids,Batting Tee,2026-08-31,1782,2026-11-09,186,234,333,459,2026-09-05,11,12.495358525693906
ASIN_40CB34,MLB Y BASEBALL BELT ORANGE,,Baseball,Apparel,Belt,2026-08-31,125,2027-06-28,68,81,110,159,,,
ASIN_28B361,MLB A L RED GLD PS INF BTG PR,https://www.amazon.com/dp/B07XPVGM4G,Baseball,Gloves,Batting Glove,2026-08-31,29,2026-10-19,2,3,4,4,2026-09-12,4,14.144374805979526
ASIN_80AC14,A S/M VNLA/GLD ARM SLEEVE PR,,Baseball,Apparel,Sleeve,2026-08-31,42,2026-09-28,3,4,4,7,2026-09-04,6,16.26239901796799
ASIN_4A2403,SFIA A L WHT/CHRM SUPRTK REC,https://www.amazon.com/dp/B07X2ZD81X,Baseball,Gloves,Sport Glove,2026-08-31,257,2027-06-14,10,11,14,19,2026-09-09,22,14.007859084809212
ASIN_E0D5B6,MLB T XS BLK/WHT TBALL FLX BTG,https://www.amazon.com/dp/B07GJD8G56,Baseball,Gloves,Batting Glove,2026-08-31,255,2026-09-28,26,21,32,40,2026-09-09,46,13.47171614743512
ASIN_26E105,SFIA A XL WHT/CHRM SUPRTK REC,https://www.amazon.com/dp/B07X64CNGL,Baseball,Gloves,Sport Glove,2026-08-31,41,2026-11-30,2,3,4,5,,,
ASIN_907969,MLB A XL PNK CBL PS INF BTG PR,,Baseball,Gloves,Batting Glove,,,2027-06-07,1,1,1,2,2026-09-10,13,17.12231851235656
ASIN_3D0387,MLB A S PRL/WHT PRO CLSC BTG,https://www.amazon.com/dp/B013LPTS6M,Baseball,Gloves,Batting Glove,2026-08-31,19,2026-12-21,1,1,1,2,2026-09-09,4,14.205447593405594
ASIN_CE90E0,MLB Y BASEBALL BELT FOREST GRN,,Baseball,Apparel,Belt,2026-08-31,376,2027-01-18,17,19,28,34,2026-09-09,27,15.252476126964213
ASIN_BFCBAA,"13.0"" CML/BRN CTZ5000 BBG REG",,Baseball,Fielding Gloves,Baseball Glove,2026-08-31,26,2027-06-21,2,3,3,5,,,
ASIN_E0D5B6,MLB T XS BLK/WHT TBALL FLX BTG,https://www.amazon.com/dp/B07GJD8G56,Baseball,Gloves,Batting Glove,2026-08-31,324,2026-10-26,12,18,21,25,2026-09-09,43,15.035983604136721
ASIN_DB0842,USA BB VENOM 1000 25/15 GRN,https://www.amazon.com/dp/B075SLSLV7,Baseball,Bats,Bat,2026-08-31,999,2027-01-04,12,14,17,28,,,
ASIN_0233DA,MLB A M PRL/WHT NAT II BTG PR,https://www.amazon.com/dp/B00G2GFIUI,Baseball,Gloves,Batting Glove,,,2026-09-14,4,4,4,6,,,
ASIN_F7E55D,MLB Y CFX PRT SLIDER RED HILTE,,Baseball,Protective Gear,Slider,2026-08-31,24,2027-05-31,5,9,9,12,2026-09-09,7,15.935616089436937
ASIN_981230,"10.0"" FLDMSTR CML/BRN BBG FR",https://www.amazon.com/dp/B0BHF9TMXL,Baseball,Fielding Gloves,Baseball Glove,2026-08-31,47,2026-08-31,4,5,6,7,,,
ASIN_487C84,A XL PRL/BLK TRAD GOLF GLV RH,https://www.amazon.com/dp/B07BNQT3J8,Baseball,Gloves,Sport Glove,2026-08-31,5,2026-10-19,0,0,1,1,,,
ASIN_0CD76A,"11.5"" CML/BRN CTZ5000 BBG REG",https://www.amazon.com/dp/B09PSKDHMD,Baseball,Fielding Gloves,Baseball Glove,2026-08-31,28,2026-12-14,1,3,3,6,,,
ASIN_5DA8E4,GATOR GRIP - CLOTH TAPE,https://www.amazon.com/dp/B00266O46C,Baseball,General Accessories,Tape,2026-08-31,812,2026-10-12,109,170,187,228,2026-09-12,229,15.855238134209053
ASIN_338AF0,Y L RLXD BLACK BSBL PANT BULK,,Baseball,Apparel,Pant,2026-08-31,13,2027-07-05,52,71,94,111,,,
ASIN_09CF0B,Y PRT LEG GUARD BLK/GLD,,Baseball,Protective Gear,Leg Protective,2026-08-31,27,2027-04-26,6,9,10,16,2026-09-03,4,14.505822153433394
ASIN_9E8BA1,MLB 68X48 FYBK LG RTN,https://www.amazon.com/dp/B00GD739KW,Baseball,Training Aids,Pitchback,2026-08-31,1193,2027-01-18,289,320,457,512,2026-11-09,588,33.84894758789413
ASIN_07FAEA,MLB A M COLD MAX BTG,https://www.amazon.com/dp/B07CJM5CV4,Baseball,Gloves,Batting Glove,2026-08-31,32,2027-03-08,2,1,2,4,,,
ASIN_3B3E0D,MLB GATOR GRIP - GRIP TRNR RED,https://www.amazon.com/dp/B07HYYCQLJ,Baseball,General Accessories,Bat Trainer,2026-08-31,55,2027-06-07,16,19,24,30,2026-09-10,15,12.013996297750321
ASIN_2E1D37,MLB T M WHT/PNK TBALL FLEX BTG,https://www.amazon.com/dp/B07GJQ9WBD,Baseball,Gloves,Batting Glove,2026-08-31,203,2026-09-14,31,33,38,46,2026-09-12,6,15.276299554968897
ASIN_1293EE,MLB A L WHT/BLK SHOKSORB BTG,https://www.amazon.com/dp/B00NCWCA7E,Baseball,Gloves,Batting Glove,2026-08-31,130,2027-06-28,38,43,51,80,,,
ASIN_0DE0BB,MLB Y S BLK/GOLD SHKSORB X BTG,https://www.amazon.com/dp/B07XNSWZ3B,Baseball,Gloves,Batting Glove,2026-08-31,89,2027-03-08,16,19,20,31,2026-09-12,4,13.690507511045032
ASIN_33BA49,MLB A S PRL/WHT NAT II BTG PR,https://www.amazon.com/dp/B00G2GFISK,Baseball,Gloves,Batting Glove,,,2027-05-10,0,0,0,0,,,
ASIN_DFDCAD,MLB A L NVY/NVY NAT HI-LTE BTG,,Baseball,Gloves,Batting Glove,2026-08-31,34,2027-02-15,1,3,3,5,,,
ASIN_209CCE,MLB A S BLK/BLK NEO II BTG PR,https://www.amazon.com/dp/B00G3EI8OM,Baseball,Gloves,Batting Glove,2026-08-31,26,2027-04-12,3,4,4,6,,,
ASIN_560525,MLB A S BLK/GOLD SHKSORB X BTG,https://www.amazon.com/dp/B07XMLFPW5,Baseball,Gloves,Batting Glove,2026-08-31,122,2026-11-23,8,10,13,16,2026-09-03,4,14.063960724329755
ASIN_907969,MLB A XL PNK CBL PS INF BTG PR,,Baseball,Gloves,Batting Glove,,,2026-11-02,1,1,1,2,2026-09-11,9,16.768921956965933
ASIN_27FEF3,MLB T S BLK/WHT G2P BTG,,Baseball,Gloves,Batting Glove,2026-08-31,119,2026-12-14,13,18,17,26,2026-09-04,4,16.815750491820243
ASIN_678116,MLB A M BLK/BLK CFX PRO BTG,https://www.amazon.com/dp/B00N4M4IUE,Baseball,Gloves,Batting Glove,2026-08-31,0,2027-06-07,11,14,17,26,2026-09-09,61,16.08652383408003
ASIN_2C86A5,MLB A XL VNILA CFX PRO GOLD BT,,Baseball,Gloves,Batting Glove,2026-08-31,104,2027-04-26,16,23,29,37,2026-09-03,6,14.300306473797013
ASIN_FECE4E,MLB A L CFX TEAL/CORL HI-LITE,,Baseball,Gloves,Batting Glove,,,2026-10-19,4,5,7,11,2026-09-09,5,15.823580827136261
ASIN_DC9118,MLB A XL RYL/RYL NEO II BTG PR,https://www.amazon.com/dp/B00G3EI8NS,Baseball,Gloves,Batting Glove,,,2027-05-31,1,1,2,3,,,
ASIN_516096,MLB A XL PRL/NVY CFX PRO BTG,https://www.amazon.com/dp/B01IUV8FG6,Baseball,Gloves,Batting Glove,2026-08-31,22,2027-01-18,1,2,3,3,2026-09-05,5,13.93225044357072
ASIN_0CF5B0,MLB A L PRL/WHT CFX PRO BTG,https://www.amazon.com/dp/B013LPT1OQ,Baseball,Gloves,Batting Glove,2026-08-31,164,2027-01-25,18,21,22,28,2026-09-09,4,11.789424354843165
ASIN_A25247,A XXL PRL/BLK PRO GOLF GLV LH,https://www.amazon.com/dp/B07X64PXYW,Baseball,Gloves,Sport Glove,2026-08-31,2,2026-10-19,1,1,2,2,,,
ASIN_51780F,MLB A L BLK/RYL DIGITEK BTG PR,https://www.amazon.com/dp/B013LPUZB4,Baseball,Gloves,Batting Glove,,,2027-07-19,5,7,9,14,2026-09-09,8,13.680753770967836
ASIN_9B7C99,Y S RLXD GRY BSBL PANT BULK,,Baseball,Apparel,Pant,2026-08-31,491,2026-12-07,39,42,57,91,,,
ASIN_A39189,MLB A M CFX PRT RED HILTE BTG,,Baseball,Gloves,Batting Glove,2026-08-31,9,2026-11-09,1,1,1,2,,,
ASIN_620A74,"9.5"" GRAPHITE/PNK PVC BBG REG",https://www.amazon.com/dp/B013LPROJ0,Baseball,Fielding Gloves,Baseball Glove,2026-08-31,47,2027-06-21,4,5,8,11,,,
ASIN_427927,A XXL PRL/BLK PRO GOLF GLV RH,https://www.amazon.com/dp/B07X43SQMP,Baseball,Gloves,Sport Glove,2026-08-31,11,2027-01-25,1,1,2,3,2026-09-03,4,14.948170285890628
ASIN_B0C1A7,"9.5"" BLK/WHT DIGI PVC BBG REG",https://www.amazon.com/dp/B013LPRT8Q,Baseball,Fielding Gloves,Baseball Glove,2026-08-31,72,2027-03-08,71,91,102,148,2026-09-09,221,14.485949795170756
ASIN_E9CBFB,Y S ROYAL ACRYLIC BSBL SOCK PR,https://www.amazon.com/dp/B00CI4OBBA,Baseball,Apparel,Socks,2026-08-31,928,2027-04-12,167,219,311,327,2026-09-11,34,13.053184420116734
ASIN_1483BD,MLB A L RED CHROME PWRSTP BTG,https://www.amazon.com/dp/B07GJGQ443,Baseball,Gloves,Batting Glove,2026-08-31,58,2026-09-14,4,5,7,8,2026-09-09,4,14.003232325472846
ASIN_74056D,"12.0"" PVC FLDMSTR BLK BBG REG",https://www.amazon.com/dp/B075RXLH44,Baseball,Fielding Gloves,Baseball Glove,2026-08-31,1549,2027-06-21,178,244,328,472,2026-12-10,208,31.8614478228387
ASIN_1E7A83,"12.0"" PVC FLDMSTR GOLD BBG FR",https://www.amazon.com/dp/B07XNVCY79,Baseball,Fielding Gloves,Baseball Glove,2026-08-31,343,2027-06-14,25,41,43,60,,,
ASIN_C98B49,Y OSFM VNLA/GLD ARM SLEEVE PR,,Baseball,Apparel,Sleeve,2026-08-31,39,2027-04-19,5,6,8,13,2026-09-05,6,14.533813383234952
ASIN_26E57E,MLB Y L CFX PINK HI-LT BTG,,Baseball,Gloves,Batting Glove,2026-08-31,71,2026-09-28,7,10,12,15,2026-09-12,4,16.429300510543364
ASIN_A8C25C,MLB A XL WHT PRO CLSC GOLD BTG,https://www.amazon.com/dp/B0BL8K6B1J,Baseball,Gloves,Batting Glove,2026-08-31,24,2027-04-05,3,3,4,6,2026-09-09,4,14.022227434024147
ASIN_DC0053,MLB Y S WHT/BLK DIGITEK BTG PR,https://www.amazon.com/dp/B013LQBUOY,Baseball,Gloves,Batting Glove,2026-08-31,6,2027-02-08,28,35,42,50,2026-09-11,6,12.915585928700668
ASIN_2ABEF0,MLB A M RYL GLD PS INF BTG PR,https://www.amazon.com/dp/B07XJX4Q9R,Baseball,Gloves,Batting Glove,2026-08-31,18,2027-03-08,1,1,2,3,2026-09-09,4,13.283040728650647
ASIN_4E67A7,A PRT HAND GUARD LG OPTIC PNK,,Baseball,Protective Gear,Hand Protective,,,2026-10-05,3,4,6,8,2026-09-09,4,14.758684527240387
ASIN_07FCD3,MLB Y XXS WHT/FGRN 2ND SKNZ BT,https://www.amazon.com/dp/B07XTGD5GF,Baseball,Gloves,Batting Glove,2026-08-31,29,2027-03-22,8,9,13,18,2026-09-09,19,14.904592825511477
ASIN_1A12D3,MLB Y M CFX FULL RED BTG,https://www.amazon.com/dp/B0725PXT23,Baseball,Gloves,Batting Glove,2026-08-31,59,2026-09-21,9,11,11,14,2026-09-09,9,13.955316263813387
ASIN_259B7C,MLB A S CFX BURG HI-LT BTG,,Baseball,Gloves,Batting Glove,2026-08-31,56,2026-12-14,4,5,6,11,,,
ASIN_E369D4,MLB A XL CFX F.GRN HI-LT BTG,,Baseball,Gloves,Batting Glove,2026-08-31,43,2027-03-01,4,5,7,9,,,
ASIN_652486,"9.0"" WHT/PNK AIRTECH BBG W/BAL",https://www.amazon.com/dp/B07XNTGCPB,Baseball,Fielding Gloves,Glove & Ball,2026-08-31,227,2027-03-22,102,156,130,224,2026-09-09,23,14.055600615137234
ASIN_E8A30C,EYE BLK - VANILLA LUXE,,Baseball,General Accessories,Eye Black,2026-08-31,115,2027-07-19,41,52,65,95,2026-09-04,8,17.149777034515644
ASIN_8E7271,"12.5"" CML/BRN CTZ 1B BBG REG",,Baseball,Fielding Gloves,Baseball Glove,2026-08-31,14,2027-06-28,1,1,2,2,2026-09-10,2,16.121316929621887
ASIN_404D69,MLB A S CFX MINT HI-LITE BTG,https://www.amazon.com/dp/B07XT885W9,Baseball,Gloves,Batting Glove,2026-08-31,89,2027-07-19,6,6,7,10,,,
ASIN_318770,MLB Y M CFX F.GRN HI-LT BTG,,Baseball,Gloves,Batting Glove,2026-08-31,51,2026-10-26,2,3,4,5,,,
ASIN_8E7271,"12.5"" CML/BRN CTZ 1B BBG REG",,Baseball,Fielding Gloves,Baseball Glove,2026-08-31,10,2026-11-16,1,2,2,3,2026-09-09,2,12.589075183419016
ASIN_D2B8B3,"12.0"" BWN/CAMEL PIG BBG REG",https://www.amazon.com/dp/B07X64CNG5,Baseball,Fielding Gloves,Baseball Glove,2026-08-31,840,2027-06-14,45,63,66,68,,,
ASIN_78D668,MLB A XL CFX FULL RED BTG,https://www.amazon.com/dp/B071LGB59P,Baseball,Gloves,Batting Glove,2026-08-31,52,2026-12-07,6,8,10,13,2026-09-03,3,15.356494721284633
ASIN_BF246D,MLB A M GRY HLT PS INF BTG PR,https://www.amazon.com/dp/B07XTDMYQM,Baseball,Gloves,Batting Glove,2026-08-31,41,2027-04-26,9,13,16,23,2026-09-10,5,13.83075439969296
ASIN_421D0D,USASB W XL CFX PRL/WHT AURA BT,,Baseball,Gloves,Batting Glove,2026-08-31,7,2027-06-21,0,0,1,1,,,
ASIN_A58A33,MLB A S CFX PNK/CBLUE HI-LITE,,Baseball,Gloves,Batting Glove,2026-08-31,31,2026-12-28,7,12,16,19,2026-09-05,17,14.769343944267879
ASIN_ECC7CB,MLB 61X44 PRO CATCHER RTN,https://www.amazon.com/dp/B001M20PLO,Baseball,Training Aids,Pitchback,2026-08-31,338,2026-10-26,23,35,36,52,2026-09-09,112,13.483997019311404
ASIN_741E66,MLB A M PRL/RYL PRO CLSC BTG,https://www.amazon.com/dp/B013LPTIR6,Baseball,Gloves,Batting Glove,2026-08-31,14,2026-09-07,1,1,2,2,2026-09-09,4,14.4392633378717
ASIN_E4C13E,Y M RED ACRYLIC BSBL SOCK PR,https://www.amazon.com/dp/B00CI4OE9Y,Baseball,Apparel,Socks,2026-08-31,1072,2027-06-21,123,160,202,235,2026-09-10,63,16.508412384477946
ASIN_111BA3,MLB Y L WHT/CBLUE DIGTK HILT,https://www.amazon.com/dp/B07XLK9B16,Baseball,Gloves,Batting Glove,2026-08-31,21,2027-07-05,6,10,13,18,2026-09-10,8,17.27731499491417
ASIN_A40BA2,MLB Y S VNILA CFX PRO GOLD BTG,,Baseball,Gloves,Batting Glove,2026-08-31,37,2026-09-28,5,5,7,11,2026-09-11,5,13.198876124407702
ASIN_EE3591,MLB 2-IN-1 SWTCH HTR RTRN TGT,https://www.amazon.com/dp/B00O9ZRVZE,Baseball,Training Aids,Pitchback,2026-08-31,2084,2027-04-05,531,587,747,863,2026-09-22,3820,32.2481147883798
ASIN_2842B7,MLB T M BLK/WHT G2P BTG,,Baseball,Gloves,Batting Glove,2026-08-31,109,2026-11-02,4,6,7,11,,,
ASIN_162248,MLB A XXL BLK/BLK PRO CLSC BTG,https://www.amazon.com/dp/B013LPTXK8,Baseball,Gloves,Batting Glove,2026-08-31,19,2026-08-31,1,1,1,2,,,
ASIN_516096,MLB A XL PRL/NVY CFX PRO BTG,https://www.amazon.com/dp/B01IUV8FG6,Baseball,Gloves,Batting Glove,2026-08-31,22,2026-11-23,2,3,4,5,2026-09-05,3,14.639087734394854
ASIN_3172BF,"13.0"" BLK/CHRM CTZ BBG REG",,Baseball,Fielding Gloves,Baseball Glove,2026-08-31,45,2026-09-28,3,3,4,5,,,
ASIN_12028C,MLB A S PRL/NVY CFX PRO BTG,https://www.amazon.com/dp/B01IUV8FOS,Baseball,Gloves,Batting Glove,2026-08-31,31,2027-03-22,2,3,3,5,2026-09-09,4,16.54513050663044
ASIN_8FCC35,A PRT HAND GUARD LG BLK/GLD,,Baseball,Protective Gear,Hand Protective,2026-08-31,187,2027-02-01,27,37,40,47,2026-09-11,8,15.59048659605577
ASIN_F2A4D8,"9.5"" GRPHT/PNK BBG REG W/BALL",https://www.amazon.com/dp/B00VN2DN6W,Baseball,Fielding Gloves,Glove & Ball,2026-08-31,300,2026-10-26,40,46,65,82,,,
ASIN_652486,"9.0"" WHT/PNK AIRTECH BBG W/BAL",https://www.amazon.com/dp/B07XNTGCPB,Baseball,Fielding Gloves,Glove & Ball,2026-08-31,262,2027-03-22,104,130,156,232,2026-09-03,5,13.888998093859472
ASIN_D2B8B3,"12.0"" BWN/CAMEL PIG BBG REG",https://www.amazon.com/dp/B07X64CNG5,Baseball,Fielding Gloves,Baseball Glove,2026-08-31,926,2026-12-07,34,43,51,61,,,
ASIN_007442,MLB Y M PNK CBL PS INF BTG PR,,Baseball,Gloves,Batting Glove,,,2027-05-24,3,5,5,8,2026-09-09,9,12.345347969679379
ASIN_0CF5B0,MLB A L PRL/WHT CFX PRO BTG,https://www.amazon.com/dp/B013LPT1OQ,Baseball,Gloves,Batting Glove,2026-08-31,154,2026-09-07,17,21,19,30,2026-09-11,5,13.763987476772472
ASIN_FECE4E,MLB A L CFX TEAL/CORL HI-LITE,,Baseball,Gloves,Batting Glove,,,2027-01-11,3,3,4,7,2026-09-10,23,14.359987914167398
ASIN_E228E3,MLB A M CFX FULL BLACK BTG,https://www.amazon.com/dp/B071LGB59N,Baseball,Gloves,Batting Glove,2026-08-31,79,2026-11-02,12,11,19,15,2026-09-03,6,13.906634198381736
